sale_id,sale_date,customer_id,product_id,quantity,unit_price,total_amount,store_id,payment_type,discount
37,Apr 04 2018,559.0,399,2,4397,8794,S02,CASH,0
38,Apr 08 2016,670.0,X300,-1,₹395,-395,S02,Credit Card,10
39,Aug 29 2020,837.0,,3,"₹1,760",5280, ,cash ,5%
40,Sep 01 2015,727.0,X300,-1,2300,-2635,,upi,N/A
41,2015-11-17,697.0,X300,2,N/A,error, ,card,0
42,2021.04.01,1123.0,,2,0,0, ,cash ,10
43,2016.02.13,1162.0,X300,3,"₹2,552",7656,S02,NetBanking,0
44,2023-07-16,1550.0,525,2,0,-358,,card,5%
45,2018-05-21,598.0,X300,1,4804,4804,S01,cash ,5%
46,22/01/2018,1232.0,412,1,N/A,error, ,upi,0
47,2018.08.04,1412.0,,2,N/A,error,,NetBanking,10
48,2015-04-18,929.0,,3,0,-204,S03,CASH,5%
49,14/10/2018,927.0,,one,0,error,S02,card,-50
50,Aug 17 2023,799.0,X300,1,4589,4403,S02,cash ,0
51,2021-08-01,1244.0,,-1,₹113,167,S02,upi,0
52,13/04/2022,483.0,X300,one,2706,error,S01,CASH,5%
53,26/01/2025,958.0,X300,2,0,-102,,Credit Card,10
54,2016.04.15,472.0,246,3,1724,5172,S01,card,10
55,2025-04-10,391.0,242,2,0,0,S01,upi,0
56,2023.06.02,324.0,X300,-1,"₹4,221",-4221, ,CASH,0
57,01/05/2015,1315.0,,3,2579,7737,,card,10
58,Mar 11 2024,885.0,509,1,N/A,error,S02,Credit Card,5%
59,22/11/2016,1055.0,139,0,1703,0,S02,upi,10
60,20/07/2023,1459.0,,3,"₹2,729",8187, ,upi,N/A
61,2016-12-23,1371.0,509,0,"₹4,603",0, ,upi,0
62,2023-04-12,663.0,288,0,₹823,208,S02,upi,5%
63,2018-09-30,220.0,410,0,4220,0,S02,Credit Card,0
64,2022.07.30,257.0,,2,2306,4612, ,CASH,N/A
65,Oct 18 2024,536.0,X300,3,"₹3,904",11712,S02,Credit Card,N/A
66,17/05/2020,792.0,X300,0,0,0,S02,card,0
67,24/11/2021,194.0,464,one,"₹1,788",error,S02,NetBanking,N/A
68,2024.08.10,1277.0,,one,0,error,S03,card,5%
69,Dec 06 2025,1514.0,43,one,0,error,,upi,-50
70,23/01/2017,1028.0,,3,1330,3990,S03,NetBanking,N/A
71,2015.10.14,1260.0,,1,2613,2613,S02,CASH,5%
72,Jun 27 2015,1165.0,16,0,N/A,error,S01,NetBanking,10
73,11/04/2015,480.0,,3,4053,11799,S03,NetBanking,-50
74,16/09/2016,404.0,47,3,"₹1,241",3723,S02,upi,-50
75,2022-11-02,494.0,,2,N/A,error, ,CASH,-50
76,Mar 31 2020,897.0,547,one,0,error,S02,Credit Card,0
77,Aug 22 2023,1553.0,X300,one,"₹2,500",error,S01,upi,5%
78,14/01/2018,49.0,413,one,0,error,S01,Credit Card,-50
79,2021-11-21,1204.0,,1,N/A,error, ,CASH,0
80,2020.10.21,487.0,,2,4934,9378,S01,upi,0
81,Aug 17 2021,511.0,200,-1,4603,-4603,S03,card,N/A
82,30/06/2024,904.0,,3,4781,14343,S02,cash ,-50
83,2022.04.15,1561.0,X300,one,N/A,error,S01,NetBanking,N/A
84,2023.04.24,235.0,439,-1,"₹3,446",-3446,S02,CASH,-50
85,2020.05.31,157.0,39,1,1704,1704, ,Credit Card,10
86,29/08/2018,738.0,547,2,N/A,error,,upi,0
87,Apr 30 2016,580.0,,0,0,0, ,Credit Card,-50
88,2023-11-20,1590.0,61,3,₹971,3345,,NetBanking,0
89,2020-11-23,248.0,55,3,4371,13113,S03,Credit Card,0
90,Aug 22 2021,1044.0,,2,"₹3,136",6272,,card,0
91,Oct 10 2018,467.0,X300,3,494,1482, ,Credit Card,N/A
92,2020.03.12,960.0,,1,1270,1270, ,card,-50
93,2019-12-23,713.0,91,1,"₹4,456",4456,S03,Credit Card,10
94,22/01/2016,233.0,,1,₹350,350,S03,cash ,10
95,Apr 13 2019,1091.0,304,3,"₹2,564",7970,S03,cash ,N/A
96,Aug 16 2021,860.0,,2,2560,5120,,CASH,10
97,2016-01-01,406.0,45,3,3046,9138,S01,Credit Card,N/A
98,May 08 2019,1140.0,X300,0,677,0,S03,NetBanking,-50
99,2018-06-21,1049.0,,one,0,error, ,cash ,N/A
100,2017-11-14,669.0,X300,-1,N/A,error,S02,upi,N/A
101,Mar 13 2017,313.0,,0,₹779,0,,card,N/A
102,08/05/2020,397.0,,1,N/A,error,S01,card,N/A
103,2016.02.14,1137.0,X300,1,0,0,,upi,0
104,28/12/2015,854.0,X300,3,N/A,error,S03,Credit Card,5%
105,Oct 04 2018,1584.0,115,1,0,0,S01,CASH,0
106,12/08/2023,1568.0,,0,247,0, ,Credit Card,-50
107,20/10/2018,707.0,X300,2,N/A,error,S01,upi,0
108,2021.10.23,1097.0,,one,N/A,error, ,card,-50
109,11/09/2025,330.0,,0,4331,0,S03,CASH,10
110,04/05/2021,20.0,X300,1,₹628,628,S01,card,10
111,2025-04-25,218.0,312,0,N/A,error,S03,Credit Card,5%
112,2020-06-23,1378.0,,one,N/A,error,S03,cash ,0
113,2021-10-12,1593.0,,2,3876,7752,S02,cash ,N/A
114,Mar 13 2025,163.0,,3,"₹4,530",13590,S02,Credit Card,N/A
115,2020.02.18,380.0,,one,0,error,,NetBanking,5%
116,Jan 19 2018,1106.0,,one,1573,error,S03,card,10
117,2019-01-21,1093.0,X300,3,0,0,S03,card,5%
118,2020-12-28,1114.0,,0,N/A,error, ,Credit Card,-50
119,26/04/2025,1077.0,473,-1,3114,-3114, ,upi,0
120,2024.02.23,434.0,,3,1478,4434,S01,upi,0
121,27/11/2019,733.0,451,3,N/A,error,S02,Credit Card,10
122,2017.09.17,653.0,X300,0,1961,0, ,NetBanking,-50
123,2015.06.22,607.0,,3,2139,6417, ,card,N/A
123,2021-12-16,1424.0,X300,0,0,0, ,Credit Card,N/A
125,2023-06-09,442.0,X300,1,N/A,error,S02,upi,N/A
126,2023-02-22,292.0,540,one,3359,error,S03,Credit Card,-50
127,2015.08.13,610.0,281,one,2913,error,S03,Credit Card,N/A
128,17/01/2025,1018.0,X300,one,N/A,error,S02,CASH,0
129,02/01/2017,1156.0,X300,2,N/A,error,S02,Credit Card,0
130,Jul 28 2025,379.0,,1,0,0,S02,CASH,5%
131,2020.05.26,862.0,X300,-1,"₹1,253",-1253,,upi,N/A
132,2025.11.07,1035.0,290,0,"₹2,763",0, ,NetBanking,-50
133,2020.05.04,896.0,,-1,4263,-4263,S03,NetBanking,N/A
134,13/09/2023,568.0,X300,-1,N/A,error,,CASH,5%
135,17/11/2018,376.0,X300,0,N/A,error,S02,upi,0
136,2022-01-12,561.0,,1,0,0, ,NetBanking,N/A
137,2022-05-23,38.0,198,0,0,0,,cash ,N/A
138,Jun 26 2022,898.0,,2,0,0,S02,card,5%
139,Apr 27 2018,360.0,148,one,0,error, ,CASH,5%
140,18/11/2018,176.0,136,0,0,0,S03,card,10
141,Dec 17 2020,1354.0,X300,one,0,error,S03,card,5%
142,2023.04.11,1161.0,,0,3457,0, ,Credit Card,0
143,2016.07.01,791.0,X300,1,"₹3,127",2942,S02,NetBanking,-50
144,2017.03.12,235.0,,3,0,0,S02,CASH,0
145,2015-07-25,294.0,,2,1403,2974,S03,cash ,-50
146,2022.09.09,682.0,X300,1,N/A,error, ,CASH,5%
147,2021-10-19,386.0,,one,"₹1,326",error,S01,cash ,10
148,2017.10.16,1204.0,,0,N/A,error,S01,cash ,5%
149,2018.07.16,1551.0,X300,0,"₹4,173",300,S02,Credit Card,0
150,2017.11.28,804.0,X300,one,1652,error,S03,cash ,-50
151,2021.06.07,958.0,538,-1,0,0,S01,Credit Card,10
152,Dec 18 2020,364.0,X300,0,N/A,error,S03,Credit Card,10
153,2022-09-16,1187.0,X300,1,N/A,error,S03,cash ,10
154,09/08/2016,78.0,187,one,4745,error,S03,NetBanking,0
155,2015.05.12,596.0,,2,4259,8518, ,NetBanking,5%
156,Jan 26 2020,976.0,381,2,1983,4016,,card,0
157,Oct 13 2024,1044.0,294,2,0,-253,S02,Credit Card,N/A
158,2015-11-14,428.0,144,3,0,0,S02,cash ,5%
159,2015.08.14,1123.0,,3,0,0,S02,card,-50
160,2017-04-23,279.0,82,0,0,0,S03,upi,-50
161,2021-02-03,548.0,114,-1,"₹1,701",-1701,S03,Credit Card,0
162,29/04/2024,615.0,,one,3479,error,S03,upi,N/A
163,Jan 24 2024,1079.0,499,3,3688,11064,S01,NetBanking,0
164,Feb 18 2023,473.0,X300,2,0,0,,upi,5%
165,2024.08.10,1137.0,,-1,1850,-1850, ,CASH,N/A
166,Feb 06 2017,1299.0,,2,N/A,error,S02,Credit Card,5%
167,17/02/2024,1058.0,X300,2,₹154,308,S02,Credit Card,N/A
168,2022.04.10,1186.0,,one,0,error,S01,cash ,N/A
169,10/08/2016,1191.0,342,one,"₹1,907",error,S02,card,0
170,14/06/2015,367.0,131,1,4267,4267,S03,CASH,10
171,Jan 11 2019,1570.0,,one,₹448,error,,cash ,0
172,2024-07-10,189.0,X300,3,3578,10734,,CASH,5%
173,2017-02-23,804.0,X300,0,2987,0,S01,NetBanking,N/A
174,2019-10-26,375.0,477,-1,N/A,error,S01,Credit Card,0
175,2018-10-25,807.0,205,2,₹535,1070, ,card,5%
176,2023.08.06,884.0,X300,2,0,0,,Credit Card,N/A
177,12/02/2018,1463.0,X300,0,0,0,S01,card,0
178,Jan 15 2018,1499.0,100,1,0,0, ,CASH,-50
179,08/06/2022,458.0,X300,2,"₹1,578",3156,S02,NetBanking,10
180,2018.11.03,243.0,X300,2,N/A,error, ,upi,N/A
181,2015.03.19,1226.0,89,-1,3553,-3386,,Credit Card,10
182,06/01/2022,618.0,,one,"₹4,192",error,,card,5%
183,2015.12.20,1433.0,,1,0,0,S03,NetBanking,-50
184,2020.03.02,202.0,218,1,0,0,,CASH,-50
185,2018.01.29,795.0,,2,1677,3354,S03,card,0
186,2019.02.11,224.0,317,one,1722,error,,CASH,10
187,Oct 04 2025,512.0,X300,0,0,-19,S01,card,0
188,Apr 07 2024,170.0,X300,0,0,-199,,CASH,0
189,Nov 06 2016,959.0,X300,one,"₹4,474",error,,cash ,-50
190,Sep 01 2020,1263.0,398,one,102,error,,upi,N/A
191,2015-12-23,985.0,,0,₹795,0, ,upi,10
192,Mar 22 2017,406.0,X300,3,4704,14112,,CASH,-50
193,2019-07-14,1351.0,X300,one,4947,error, ,cash ,N/A
194,Oct 04 2025,573.0,174,2,N/A,error,S01,Credit Card,-50
195,2017-09-12,23.0,X300,-1,N/A,error,,card,-50
196,2016-02-01,1039.0,X300,0,"₹3,423",0,S02,upi,-50
197,Jun 29 2025,907.0,519,-1,₹799,-799,S03,card,N/A
198,Jun 05 2022,177.0,X300,-1,1639,-1639,S01,card,0
199,Jun 15 2017,136.0,X300,2,₹456,1350,S03,Credit Card,5%
200,2015-01-24,128.0,29,1,N/A,error,S01,CASH,10
201,2021-08-08,523.0,9,1,N/A,error,S01,NetBanking,10
202,2022-02-19,1189.0,X300,one,4775,error, ,CASH,5%
203,2015.11.06,874.0,X300,3,0,0,,NetBanking,10
204,2025-06-08,597.0,X300,2,0,0,S01,cash ,10
205,08/11/2020,1528.0,X300,one,"₹4,285",error, ,card,-50
206,Mar 25 2019,843.0,X300,0,0,0,,cash ,10
207,Aug 19 2020,1426.0,X300,one,3848,error, ,upi,-50
208,2025.09.10,1230.0,X300,one,0,error, ,Credit Card,10
209,2018-07-26,1500.0,,one,4253,error,S02,CASH,10
210,2022-10-02,1361.0,X300,0,"₹1,934",0, ,cash ,-50
211,2021.02.08,536.0,413,0,2867,0,S03,CASH,0
211,Sep 22 2018,1394.0,,0,1821,0,,cash ,0
213,Jun 07 2023,816.0,224,2,N/A,error,,cash ,-50
214,2015-10-08,855.0,131,2,0,0,S01,upi,5%
215,Jan 05 2025,7.0,,2,2611,5222, ,Credit Card,0
216,2022.01.29,1200.0,387,1,N/A,error,S03,CASH,N/A
217,Oct 21 2022,933.0,X300,3,485,1455,S01,cash ,-50
218,2016-08-07,763.0,X300,0,0,411, ,card,0
219,2016-03-31,549.0,,one,0,error,,cash ,-50
220,2021-03-04,307.0,177,2,469,938,S02,card,-50
221,2025.04.21,789.0,,-1,N/A,error,S01,Credit Card,10
222,Feb 16 2018,708.0,X300,3,N/A,error,S03,card,10
223,2019.08.27,1528.0,X300,2,N/A,error, ,Credit Card,10
224,Jun 14 2018,682.0,20,1,"₹3,228",3228, ,upi,5%
225,2015-01-06,1161.0,X300,2,N/A,error,S03,CASH,N/A
226,Jun 19 2024,995.0,,3,0,0,S01,CASH,5%
227,Feb 20 2021,563.0,,1,"₹2,903",2903,S03,CASH,5%
228,2018-12-09,1067.0,284,1,N/A,error, ,CASH,-50
229,20/02/2025,297.0,467,2,N/A,error,S01,card,5%
230,2025.02.20,1542.0,,-1,₹949,-949,S03,Credit Card,0
231,2019-01-24,1241.0,X300,one,₹902,error,S02,CASH,-50
232,14/07/2021,275.0,X300,one,0,error, ,NetBanking,0
233,01/09/2023,6.0,X300,1,1483,1770,S02,CASH,-50
234,2020-07-15,1011.0,X300,1,"₹1,835",1835,S01,NetBanking,-50
235,08/04/2025,486.0,,0,164,-356,S03,cash ,0
236,04/11/2019,1458.0,,2,"₹3,060",6002,S02,NetBanking,5%
237,Nov 24 2023,1363.0,509,3,280,840, ,cash ,10
238,Mar 15 2018,1122.0,165,-1,4509,-4509, ,CASH,N/A
239,2022.03.16,1319.0,450,2,4997,9994,S02,NetBanking,10
240,08/11/2019,928.0,X300,2,N/A,error,,NetBanking,0
241,Jun 22 2025,1109.0,X300,2,2888,5776,S03,cash ,0
242,Dec 19 2019,640.0,X300,3,N/A,error,S03,card,0
243,May 18 2015,1416.0,330,3,N/A,error,S03,CASH,10
244,05/01/2018,569.0,384,-1,N/A,error,,cash ,5%
245,Dec 16 2017,280.0,,3,0,0,S03,NetBanking,N/A
246,Feb 29 2016,355.0,192,1,"₹3,569",3569,S03,CASH,N/A
247,03/05/2020,578.0,X300,0,N/A,error,,CASH,N/A
248,2016-06-30,1147.0,,1,"₹1,508",1777,S02,card,N/A
249,28/05/2015,730.0,,one,₹135,error,S01,card,-50
250,2020-07-04,434.0,,3,N/A,error,S02,Credit Card,-50
251,02/12/2023,347.0,,2,4912,9412,,CASH,5%
252,2024.01.28,434.0,X300,0,"₹4,774",0,S01,CASH,10
253,2022-03-13,26.0,X300,2,2554,5108,,card,N/A
254,2019-04-11,1037.0,,1,0,0,,upi,-50
255,2019-01-06,1599.0,192,2,N/A,error,,Credit Card,N/A
256,2018-02-23,211.0,453,1,0,0,S03,cash ,0
257,2018-11-09,1546.0,109,2,0,0,S03,cash ,-50
258,Jul 08 2016,1108.0,,0,"₹2,387",0, ,card,5%
259,2025.05.09,994.0,,3,N/A,error,S03,Credit Card,N/A
260,2022-03-23,476.0,376,1,464,464,S02,Credit Card,10
261,2018-10-18,764.0,,3,0,-228,,NetBanking,N/A
262,Jan 28 2021,116.0,385,0,N/A,error,S01,upi,5%
263,2021-09-12,1278.0,,2,N/A,error, ,upi,-50
264,2019.09.29,1124.0,X300,3,"₹3,998",11994,S02,card,10
265,2015-08-26,221.0,X300,0,2261,0,S02,cash ,10
266,2025.10.28,165.0,,2,"₹2,323",4501,,card,-50
267,2020-01-18,710.0,292,0,N/A,error, ,cash ,-50
268,16/11/2017,59.0,,1,N/A,error,S03,card,-50
269,2021-11-16,1235.0,,1,669,669,S02,CASH,10
270,12/03/2015,1450.0,X300,1,"₹3,955",3955,S03,card,5%
271,2015-03-26,124.0,X300,-1,4807,-4807,S01,card,-50
272,2024.01.09,1240.0,167,1,N/A,error,,Credit Card,5%
273,03/01/2019,1217.0,193,2,N/A,error,,upi,N/A
274,2020-09-20,303.0,,0,"₹2,197",0,,cash ,0
275,13/07/2022,361.0,61,1,0,0,,Credit Card,0
276,2020-11-21,951.0,434,one,0,error,S02,NetBanking,10
277,2021-12-22,339.0,X300,3,2847,8799, ,card,5%
278,28/06/2018,540.0,X300,1,0,0, ,NetBanking,0
279,Nov 20 2024,647.0,509,1,N/A,error,S02,upi,5%
280,2019.12.10,180.0,401,3,N/A,error,S03,cash ,-50
281,2015.03.29,622.0,X300,1,646,646,,Credit Card,10
282,Oct 05 2017,1590.0,,one,3164,error,S01,Credit Card,N/A
283,2024.06.30,1320.0,305,0,N/A,error,S01,CASH,0
284,2023-10-15,210.0,X300,3,0,443,S03,card,N/A
285,Dec 11 2023,1506.0,524,0,0,0,S01,cash ,10
286,07/03/2025,734.0,X300,2,0,0,S01,card,N/A
287,2020-08-30,418.0,X300,one,0,error,S01,CASH,5%
288,2024-11-22,169.0,132,one,0,error,S02,NetBanking,10
289,16/04/2025,89.0,,one,₹522,error, ,Credit Card,5%
290,2016-04-08,697.0,X300,1,N/A,error,,CASH,5%
291,2023.09.17,1112.0,243,0,0,0, ,upi,-50
292,Aug 01 2021,519.0,,2,"₹2,923",5846, ,card,N/A
293,Jan 29 2016,1553.0,526,0,1690,0, ,card,0
294,2017-12-12,275.0,377,-1,N/A,error,S02,card,-50
295,2022-04-22,961.0,,-1,N/A,error,S03,upi,5%
296,May 28 2025,309.0,353,one,0,error, ,Credit Card,0
297,Sep 27 2022,1418.0,275,1,"₹1,106",918, ,upi,N/A
298,31/12/2016,474.0,461,3,1514,4175, ,Credit Card,5%
299,Feb 05 2024,1284.0,164,2,N/A,error,S01,card,5%
300,10/06/2025,1486.0,X300,2,1424,2848, ,Credit Card,5%
301,11/10/2022,154.0,42,2,488,976,S01,cash ,0
302,2025-05-10,638.0,X300,1,2249,2088, ,cash ,N/A
303,2024.06.10,432.0,,one,2937,error,S02,CASH,N/A
304,03/02/2015,698.0,220,one,"₹1,984",error,S03,upi,-50
305,Feb 29 2024,731.0,X300,-1,0,0, ,upi,5%
306,02/10/2019,1562.0,75,2,"₹2,987",5974,S03,upi,10
307,2023.02.26,1391.0,,3,3815,11445,S01,cash ,10
308,2022.02.11,571.0,,2,N/A,error,S03,cash ,5%
309,2018-09-07,1433.0,269,-1,N/A,error,S01,NetBanking,5%
310,Aug 16 2015,132.0,225,0,1250,0,,card,5%
311,2019-06-13,1569.0,136,2,0,0,,upi,5%
312,2023-09-23,426.0,453,3,N/A,error,S01,Credit Card,N/A
313,09/11/2021,523.0,,0,0,0, ,CASH,0
314,2024-02-28,1559.0,,one,"₹2,915",error,S02,cash ,-50
315,2017.08.25,1090.0,X300,1,N/A,error,S01,upi,0
316,2015.12.21,849.0,X300,0,N/A,error,,upi,N/A
317,Jul 10 2025,332.0,,one,3433,error,S02,upi,10
318,2019.08.05,171.0,,-1,N/A,error,,Credit Card,5%
319,29/05/2023,500.0,X300,2,N/A,error,S03,upi,5%
320,2022.09.13,1147.0,103,1,"₹1,124",1553,S01,CASH,0
321,01/05/2022,311.0,41,3,₹558,1753,S03,card,N/A
322,Aug 16 2022,1087.0,,0,0,317,,CASH,-50
323,2015-03-17,1226.0,X300,2,0,0,S02,upi,5%
324,2021.09.14,1211.0,,-1,N/A,error,S01,CASH,0
325,31/10/2017,885.0,X300,2,"₹2,823",5311, ,cash ,10
326,2018.05.07,47.0,,0,0,0,S01,upi,-50
327,2023.12.30,1546.0,506,2,1603,3206,S01,upi,5%
328,2023.04.03,721.0,325,3,1960,5880,S02,Credit Card,-50
329,26/02/2024,1490.0,402,3,N/A,error, ,CASH,10
330,Nov 24 2023,795.0,,-1,"₹2,409",-2409,,card,0
331,30/06/2018,66.0,322,1,"₹2,889",2889,S02,NetBanking,N/A
332,Aug 14 2017,37.0,,1,0,0,S02,Credit Card,5%
333,2022.05.22,109.0,,one,1241,error,,upi,0
334,2024-06-22,97.0,,0,0,0,S03,cash ,0
335,2016.11.30,1139.0,,3,N/A,error,S03,NetBanking,0
336,Aug 16 2022,1000.0,358,3,0,0,S03,NetBanking,N/A
337,Mar 28 2017,1295.0,,-1,"₹1,415",-1415,S01,Credit Card,-50
338,Jun 30 2024,1413.0,242,-1,N/A,error,S01,cash ,-50
339,04/05/2022,1572.0,X300,3,3957,11871,S02,Credit Card,N/A
340,2019.12.27,836.0,X300,0,3841,0,,upi,N/A
341,2022-04-28,194.0,,2,0,0,S03,cash ,5%
342,02/07/2020,645.0,,2,0,34,S02,upi,10
343,19/05/2022,1421.0,X300,2,2759,5101,,NetBanking,0
344,Dec 01 2015,626.0,X300,3,727,1813,,card,5%
345,2021.08.05,266.0,,one,0,error,S01,CASH,0
346,2023-05-29,1043.0,,2,"₹2,738",5476, ,card,-50
347,19/03/2023,840.0,296,2,N/A,error,S03,upi,10
348,2019-05-01,1289.0,,one,2636,error,S03,Credit Card,N/A
349,24/02/2020,270.0,,0,0,0,S01,NetBanking,-50
350,13/09/2017,620.0,X300,one,0,error,S02,cash ,N/A
351,19/09/2022,1052.0,X300,3,"₹4,596",13788,,cash ,0
351,09/05/2025,924.0,530,2,N/A,error, ,NetBanking,10
353,2018-04-27,1403.0,X300,one,N/A,error,,card,5%
354,05/02/2022,821.0,X300,3,3833,11499,S01,cash ,10
355,25/08/2022,1217.0,,2,4339,8678,S01,Credit Card,N/A
356,2022.01.30,415.0,,one,N/A,error,S02,CASH,10
357,2023.11.30,1099.0,223,2,1090,2180,S02,CASH,10
358,2018-01-02,1576.0,402,0,N/A,error,,CASH,-50
359,04/07/2022,1374.0,169,-1,N/A,error,S02,CASH,10
360,2015-11-29,1042.0,,-1,0,97, ,CASH,10
361,10/01/2023,166.0,X300,1,0,0,S03,upi,5%
362,Oct 14 2020,540.0,261,0,0,-448,S02,NetBanking,5%
363,2024.08.22,1327.0,,-1,3806,-3806,S02,Credit Card,5%
363,08/04/2022,5.0,X300,2,1288,2576,S02,Credit Card,N/A
365,Dec 15 2019,192.0,X300,0,N/A,error,S02,CASH,10
366,2025-11-02,378.0,,3,"₹4,208",12624,,upi,0
367,Feb 22 2020,1561.0,,3,N/A,error,S02,Credit Card,-50
368,2018-02-20,1177.0,362,1,0,0,S02,upi,10
369,Jan 26 2025,310.0,56,0,2784,0, ,NetBanking,0
370,Sep 25 2018,932.0,X300,1,N/A,error, ,CASH,5%
371,2017-12-02,1453.0,503,1,0,0, ,Credit Card,N/A
372,05/06/2023,449.0,2,-1,₹528,-859,,CASH,10
373,2018.08.04,1403.0,19,3,0,0,,NetBanking,10
374,07/03/2016,904.0,226,1,1982,1860,S02,NetBanking,-50
375,2022.11.14,1158.0,474,3,336,1008,S02,NetBanking,10
376,22/12/2021,1069.0,,one,0,error,,cash ,N/A
377,Sep 01 2025,943.0,425,2,4834,9668,S01,CASH,-50
378,Feb 11 2021,983.0,X300,1,3274,3274, ,NetBanking,-50
379,2021-07-30,246.0,360,-1,N/A,error,S01,card,5%
380,2017-07-25,1509.0,,3,"₹3,707",11121,S01,cash ,N/A
381,2017-07-07,269.0,,2,N/A,error, ,CASH,N/A
382,13/06/2024,998.0,151,one,3150,error,S01,card,5%
383,29/01/2021,856.0,X300,2,0,0,S03,cash ,N/A
384,Jan 31 2018,55.0,361,2,0,85,S03,Credit Card,5%
385,20/11/2023,532.0,X300,one,3707,error,,cash ,N/A
386,2021-05-02,1564.0,X300,1,0,0,S02,Credit Card,0
387,2025-03-16,175.0,14,3,2077,6231,S01,Credit Card,N/A
388,2022.03.03,145.0,,-1,"₹1,057",-1057,S01,CASH,10
389,23/07/2022,330.0,X300,2,2702,5404,S03,upi,5%
390,15/08/2025,909.0,X300,one,N/A,error,,CASH,5%
391,May 18 2025,1143.0,X300,3,3687,11061,,cash ,5%
392,02/12/2025,392.0,X300,2,147,294,S01,cash ,10
393,2021-04-28,1230.0,72,3,0,0,,card,10
394,2023-01-06,749.0,X300,1,"₹3,424",3424,S01,card,10
395,2023-04-04,1245.0,205,0,N/A,error,S03,Credit Card,10
396,25/01/2021,1025.0,261,-1,"₹2,480",-2480,S01,CASH,5%
397,2017-02-01,1153.0,,one,1186,error,S02,cash ,0
398,Dec 16 2023,1051.0,212,2,0,0,S02,card,N/A
399,2020.05.01,165.0,X300,2,4988,9976, ,NetBanking,-50
400,Feb 21 2016,1014.0,,3,N/A,error,S03,upi,0
401,May 28 2023,718.0,,-1,N/A,error,S03,card,-50
402,22/11/2018,1422.0,259,3,0,0,S01,card,N/A
403,Dec 03 2021,338.0,X300,3,0,0, ,NetBanking,5%
404,2025-01-11,1356.0,161,1,N/A,error, ,CASH,5%
405,2022-01-04,507.0,X300,3,N/A,error,,upi,-50
406,Aug 31 2017,905.0,,2,0,0,S02,cash ,0
406,12/10/2019,829.0,,0,0,0,S03,card,-50
408,29/01/2023,348.0,X300,one,0,error, ,upi,-50
409,2018.12.28,514.0,,1,1881,1881,S02,cash ,0
410,2024.04.17,1531.0,X300,-1,N/A,error,,upi,0
411,11/01/2021,672.0,412,one,"₹4,774",error,S02,CASH,-50
412,Nov 05 2024,388.0,,2,3020,6040,S02,cash ,0
413,2022.05.31,469.0,,3,0,0,S01,Credit Card,5%
414,2024-11-13,1109.0,X300,-1,0,451, ,CASH,0
415,Jul 25 2015,738.0,,3,0,-317,S03,CASH,N/A
416,2022-02-13,1278.0,X300,-1,4006,-4006,S01,card,-50
417,28/04/2020,371.0,X300,-1,0,0, ,cash ,5%
